Feature_ID,Cluster_ID
feature_Cloud_clients,
feature_Cloud_computing_providers,
feature_Alibaba_Cloud,
feature_Google_Cloud,
feature_Salesforce,
feature_IBM_cloud_services,
feature_Opensource_cloud_hosting_services,
feature_Oracle_Cloud_Services,
feature_Amazon_Web_Services,
feature_Microsoft_cloud_services,
feature_Cloud_gaming,
feature_Cloud_standars,
feature_As_a_service,
feature_Serverless_computing,
feature_Platform_as_a_Service_(PaaS),
feature_Software_as_a_Service_(SaaS),405
feature_Software_as_a_Service_(SaaS),603
feature_Infrastructure_as_a_Service_(IaaS),791
feature_Thin_client,
feature_Content_Management_System,
feature_content_delivery,
feature_Web_content,
feature_CRM_software,
feature_email_hosting_plans,
feature_business_email,
feature_Financial_Services,573
feature_invoices,
feature_Billing,602
feature_Document_Management,
feature_Enterprise_Resource_Planning_(ERP),353
feature_E_Business_Suite,
feature_configuration_files,375
feature_database_as_a_service,1005
feature_SQL_Database,987
feature_MySQL_database,998
feature_NoSQL_database,532
feature_PostgreSQL_database,781
feature_Relational_Databases,991
feature_software_development,724
feature_Modern_Application_Development,
feature_development_environments,
feature_Development_and_Testing,
feature_SDK,
feature_web_application,477
feature_programming_languages,
feature_Ruby,
feature_Python,
feature_Java,151
feature_Business_Intelligence,628
feature_data_analysis,1019
feature_Big_Data_Analysis,863
feature_cloud_storage,950
feature_Backup_storage,660
feature_file_storage,
feature_archive,
feature_data_processing,862
feature_serverless_compute_platform,672
feature_Network_Management,
feature_Network_services,821
feature_Network_Firewall,130
feature_Web_Application_Firewall,129
feature_user_accounts,252
feature_Content_Delivery_Network_(CDN),588
feature_operating_system,267
feature_Mac_OS,
feature_Service_Management,
feature_audit,663
feature_audit_logs,
feature_audit_trail,
feature_Compliance,1003
feature_Compliance,1002
feature_compliance_and_risk_management,
feature_privacy,979
feature_data_privacy,986
feature_privacy_policy,
feature_personal_information,418
feature_Cloud_Security,753
feature_information_security_management_system,
feature_Data_Security,986
feature_Managed_Security_Services,
feature_security_policies,
feature_security_and_control,
feature_security_and_control,
feature_security_incident,
feature_Network_Security,616
feature_Resilience_and_security,796
feature_data_integrity,365
feature_confidentiality,489
feature_availability,731
feature_Identity_and_Access_Management,683
feature_incident_response,
feature_incident_management,
feature_High_Availability,963
feature_reliability,1027
feature_reliability,994
feature_Site_Reliability_Engineering,
feature_authorization,
feature_authentication,
feature_multi_factor_authentication,178
feature_business_operations,
feature_customer_data,
feature_provisioning,361
feature_configuration,375
feature_Configuration_Management,
feature_Resource_Management,
feature_monitoring,974
feature_bandwidth,448
feature_SLA,474
feature_monitoring_service,
feature_application_s_performance,
feature_logging,
feature_interoperability,470
feature_portability,
feature_Migration,726
feature_data_migration,976
feature_deployment,651
feature_deployment_and_management,650
feature_Hybrid_Cloud,1043
feature_load_balancing,272
feature_public_cloud,1039
feature_workloads,1015
feature_multi_tenancy,
feature_Private_Cloud,
feature_Virtual_Private_Cloud,1028
feature_on_premises,529
feature_outsourcing,
feature_orchestration,645
feature_resource_allocation,
feature_access_control,682
feature_hypervisor,57
feature_virtual_machines,705
feature_virtual_machines,740
feature_virtual_machines,741
feature_virtual_machines,
feature_VMware,850
feature_VMware,964
feature_virtual_data_center,
feature_hardware,480
feature_Salesforce,380
feature_deployment,651
feature_endpoint,330
